DATE,PERIOD,R,PLANETDISCMETH,numPlanets
2014,38.715185,0.248907,Transit,1
2016,2.37030743,0.143,Transit,1
2016,5.32786292,0.089,Transit,1
2014,22.824669,0.300651,Transit,1
2016,12.61190667,0.658,Transit,1
2016,3.56809693,0.116,Transit,1
2014,2.382667,0.232849,Transit,1
2016,105.9564148,0.353,Transit,1
2009,3.0927616,1.08,Transit,1
2016,15.7738221,0.201,Transit,1
2010,3.735433,1.932,Transit,1
2012,10.338523,1.01,Transit,1
2014,6.919798,0.11241,Transit,1
2016,38.6519976,0.239,Transit,1
2014,54.155743,0.34169,Transit,1
2016,2.57885507,0.178,Transit,1
2016,5.99273738,0.078,Transit,1
2015,9.32414,0.14185,Transit,1
2014,3.3118644,0.89,Transit,1
2014,21.853722,0.146311,Transit,1
2014,10.02165,1.021,Transit,1
2013,2.484193,1.27,Transit,1
2016,5.57654784,0.087,Transit,1
2014,3.936981,0.281916,Transit,1
2014,5.470319,0.0999197,Transit,1
2016,259.33683,0.167,Transit,1
2016,3.38353807,0.128,Transit,1
2014,5.212333,0.0918904,Transit,1
2016,4.24153639,0.122,Transit,1
2016,8.10501635,0.144,Transit,1
2016,296.637865,0.567,Transit,1
2016,3.57554956,0.077,Transit,1
2013,11.6092567,0.138158,Transit,1
2014,6.388996,0.255152,Transit,1
2016,4.4968604,0.225,Transit,1
2014,3.7130203,1.164,Transit,1
2016,14.20443009,0.219,Transit,1
2016,11.62905828,0.098,Transit,1
2016,2.5904434,0.146,Transit,1
2014,17.340824,0.132929,Transit,1
2014,45.902733,0.118655,Transit,1
2016,8.79617863,0.178,Transit,1
2013,2.838971,0.916,Transit,1
2012,2.79736,1.178,Transit,1
2014,49.567416,0.220359,Transit,1
2016,33.2406882,0.151,Transit,1
2016,20.74028413,0.375,Transit,1
2016,85.7565495,0.096,Transit,1
2016,1.91694425,0.07,Transit,1
2016,469.63111,0.325,Transit,1
2016,10.35584657,0.155,Transit,1
2014,3.306539,0.0972433,Transit,1
2014,9.289715,1.085,Transit,1
2014,8.180848,0.206977,Transit,1
2011,5.91213,0.320884,Transit,1
2014,20.17202,0.685164,Transit,1
2016,4.37034536,0.124,Transit,1
2011,2.150008,1.789,Transit,1
2008,3.1915426,1.217,Transit,1
2016,10.3108245,0.128,Transit,1
2016,13.2217576,0.242,Transit,1
2014,37.993273,0.231956,Transit,1
2016,5.16950177,0.169,Transit,1
2016,4.44448017,0.159,Transit,1
2014,179.612,0.458519,Transit,1
2016,2.70730672,0.121,Transit,1
2016,96.16987,0.203,Transit,1
2014,9.024389,0.147203,Transit,1
2014,13.5708,0.223015,Transit,1
2014,4.754,0.16237,Transit,1
2016,31.80634,0.095,Transit,1
2016,25.30292332,0.34,Transit,1
2016,59.4970952,0.252,Transit,1
2016,1.97376093,1.162,Transit,1
2010,95.2738,1.05,Transit,1
2016,16.32976218,0.328,Transit,1
2016,10.99469878,0.211,Transit,1
2015,10.05403,0.195,Transit,1
2014,26.84768,0.290838,Transit,1
2016,10.29672521,0.184,Transit,1
2016,13.32351601,0.119,Transit,1
2014,6.562331,0.302436,Transit,1
2009,3.1186009,1.008,Transit,1
2014,2.240508,0.0945669,Transit,1
2013,331.60059,1.01,Transit,1
2014,15.9654,0.300624,Transit,1
2016,14.2563227,0.139,Transit,1
2016,22.08557563,0.265,Transit,1
2014,13.726976,0.217682,Transit,1
2016,7.84931739,0.068,Transit,1
2016,116.331901,0.266,Transit,1
2016,4.19449651,0.14,Transit,1
2016,7.46725407,0.105,Transit,1
2014,15.79186,0.211437,Transit,1
2016,0.78916165,0.094,Transit,1
2013,138.506,0.550851,Transit,1
2014,17.326644,0.220359,Transit,1
2011,39.792187,0.178,Transit,1
2016,8.02768059,0.83,Transit,1
2016,44.2008,0.106,Transit,1
2012,3.6623817,1.7,Transit,1
2016,16.2950903,0.095,Transit,1
2014,3.179997,0.139174,Transit,1
2016,201.1214,0.186,Transit,1
2016,2.89223021,0.058,Transit,1
2014,21.2227,0.224819,Transit,1
2011,143.343,0.784384,Transit,1
2016,2.12823928,0.062,Transit,1
2016,18.45847097,0.189,Transit,1
2016,4.70832654,0.75,Transit,1
2016,1.9214374,0.122,Transit,1
2016,76.378033,0.574,Transit,1
2014,28.551383,0.169507,Transit,1
2016,76.13602028,0.434,Transit,1
2016,5.72812599,0.131,Transit,1
2016,16.73652231,0.247,Transit,1
2016,0.84990789,0.075,Transit,1
2016,5.94504102,0.203,Transit,1
2014,16.85837,0.238201,Transit,1
2016,3.94963138,0.203,Transit,1
2016,0.98494017,0.077,Transit,1
2016,2.421848,0.0929141,Transit,1
2016,5.26341577,0.352,Transit,1
2016,39.4419839,0.117,Transit,1
2016,132.9968322,0.267,Transit,1
2016,24.58721573,0.223,Transit,1
2012,4.9816877,1.063,Transit,1
2016,3.91795101,0.092,Transit,1
2016,18.11472949,0.223,Transit,1
2014,9.751962,0.189134,Transit,1
2011,4.778,0.17133,Transit,1
2016,3.9466141,0.133,Transit,1
2012,2.694047,1.685,Transit,1
